Sci & Eng,Changï¿½an University,Xiï¿½an,~70%,Yes,Civil & transport engineering,Mar/Aug,Day,Yes,"BEng, MSc"
Sci & Eng,Chongqing University of Posts & Telecom,Chongqing,~65%,Yes,Telecom & computing,Mar/Aug,Day,No,"BEng, BSc"
Sci & Eng,East China University of Science & Technology,Shanghai,~70%,Yes,Sciences & tech,Mar/Aug,Day,No,"BEng, MSc"
Sci & Eng,Fujian Normal University,Fuzhou,~65%,Yes,Education & sciences,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Guangxi University of Science & Technology,Liuzhou,~65%,Yes,Applied tech programs,Mar/Aug,Day,No,"BSc, MSc"
Sci & Eng,Hubei University of Technology,Wuhan,~65%,Yes,Applied sciences,Mar/Aug,Day,No,"BSc, BEng"
Sci & Eng,Hunan University of Science & Technology,Xiangtan,~65%,Yes,Tech & science programs,Mar/Aug,Day,No,"BSc, MSc"
Sci & Eng,Inner Mongolia University,Hohhot,~60%,Yes,Comprehensive arts & sciences,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Jilin Agricultural University,Changchun,~60%,Yes,Agriculture & bio?sciences,Mar/Aug,Day,No,BSc Agri
Sci & Eng,Lanzhou University of Technology,Lanzhou,~60%,Yes,Engineering tech,Mar/Aug,Day,No,"BEng, MSc"
Sci & Eng,Liaoning Technical University,Fuxin,~60%,Yes,Applied sciences,Mar/Aug,Day,No,"BSc, Eng"
Sci & Eng,Neijiang Normal University,Neijiang,~60%,Yes,Teacher training & sciences,Mar/Aug,Day,No,"BA, BEd"
Sci & Eng,Shandong Jianzhu University,Jinan,~60%,Yes,Architecture & tech,Mar/Aug,Day,No,"BEng, MSc"
Sci & Eng,Shanghai University of Electric Power,Shanghai,~60%,Yes,Electrical & power engineering,Mar/Aug,Day,No,BEng
Sci & Eng,Sichuan Normal University,Chengdu,~60%,Yes,"Education, arts & sciences",Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Tianjin University of Technology,Tianjin,~65%,Yes,Applied tech programs,Mar/Aug,Day,No,"BEng, MSc"
Sci & Eng,Tibet University,Lhasa,~60%,Yes,"Arts, sciences, Tibetan studies",Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Xinjiang University of Finance & Economics,Urumqi,~60%,Yes,Finance & business,Mar/Aug,Day,No,"BBA, MSc"
Sci & Eng,Yunnan Normal University,Kunming,~60%,Yes,Teacher training & sciences,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Zunyi Medical University,Zunyi,~65%,Yes,Medicine & health sciences,Mar/Aug,Day,No,"MBBS, BSc"
Sci & Eng,Shenyang Aerospace University,Shenyang,~65%,Yes,Aerospace engineering,Mar/Aug,Day,No,"BEng, MSc"
Sci & Eng,Zhongnan University of Economics & Law,Wuhan,~70%,Yes,"Business, law & economics",Mar/Aug,Day,No,"BBA, LLB"
Multi,Aichi Bunkyo University,Komaki,Medium,Yes,Comprehensive private university,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Aichi Gakuin University,Nagoya,Medium,Yes,"Arts, business, law",Apr/Sep,Day,Partial,"BA, BBA"
Multi,Aichi Institute of Technology,Toyota,Medium,Yes,Tech & engineering,Apr/Sep,Day,No,"Eng, Sci"
Health,Aichi Medical University,Nagakute,Medium,Yes,Medical sciences & health,Apr/Sep,Day,No,"MBBS, BSc"
Multi,Aichi Sangyo University,Okazaki,Medium,Yes,Business & sciences,Apr/Sep,Day,Partial,"BBA, BSc"
Multi,Aichi Shukutoku University,Nagoya,Medium,Yes,Humanities & business,Apr/Sep,Day,Partial,"BA, BBA"
Multi,Aichi Toho University,Nagoya,Medium,Yes,"Health, sciences",Apr/Sep,Day,Partial,"BSc, BA"
Arts,Aichi University of the Arts,Nagakute,Medium,Yes,Creative arts & design,Apr/Sep,Day,No,"BFA, MFA"
Education,Aichi University of Education,Kariya,Medium,Yes,Teacher training,Apr/Sep,Day,No,BEd
Multi,Akita International University,Akita,Medium,Yes,Liberal arts & international studies,Apr/Sep,Day,Partial,"BA, MA"
Sci,Akita University of Health & Welfare,Akita,Medium,Yes,Health & welfare sciences,Apr/Sep,Day,Partial,"BSc, MA"
Sci,Asahikawa Medical College,Asahikawa,Medium,Yes,Medical sciences,Apr/Sep,Day,No,"MBBS, BSc"
Sci,Asahikawa University,Asahikawa,Medium,Yes,Sciences & social sciences,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Azabu University,Sagamihara,Medium,Yes,Veterinary & biological sciences,Apr/Sep,Day,No,"BSc, DVM"
Sci,Chiba Prefectural University of Health Sciences,Chiba,Medium,Yes,Health sciences,Apr/Sep,Day,No,BSc
Sci,Chiba University of Commerce,Chiba,Medium,Yes,Business & management,Apr/Sep,Day,Partial,BBA
Multi,Den-en Chofu University,Tokyo,Medium,Yes,Humanities & social sciences,Apr/Sep,Day,Partial,"BA, BSc"
Sci,Ferris University,Yokohama,Medium,Yes,Arts & education,Apr/Sep,Day,Partial,BA
Tech,Institute of Information Security,Tokyo,High,Yes,"IT security, computing",Apr/Sep,Day,Partial,"BSc, MSc"
Multi,Japan Advanced Institute of Science & Technology,Nomi,High,Yes,Science & technology research,Apr/Oct,Day,No,"Eng, Sci"
Multi,Japan International University,Ibaraki,Medium,Yes,Health & business programs,Apr/Sep,Day,Partial,"BSc, BA"
Multi,Japan Womenï¿½s University,Tokyo,Medium,Yes,Womenï¿½s liberal arts,Apr/Sep,Day,Partial,"BA, MA"
Multi,Japan University of Health Sciences,Saitama,Medium,Yes,Health & medical programs,Apr/Sep,Day,Partial,BSc
Sci,Jogakuin University,Hiroshima,Medium,Yes,Humanities & sciences,Apr/Sep,Day,Partial,BA
Multi,Josai University,Saitama,Medium,Yes,"Business, arts",Apr/Sep,Day,Partial,"BBA, BA"
Tech,Kanagawa Institute of Technology,Yokohama,Medium,Yes,Engineering & technology,Apr/Sep,Day,Partial,"BEng, BSc"
Multi,Kanagawa University,Yokohama,Medium,Yes,Business & humanities,Apr/Sep,Day,Partial,"BA, BBA"
Multi,Kanazawa Medical University,Ishikawa,Medium,Yes,Medical & health sciences,Apr/Sep,Day,No,MBBS
Arts,Kanazawa College of Art,Ishikawa,Medium,Yes,Creative arts,Apr/Sep,Day,No,BFA
Sci,Kinjo University,Kanagawa,Medium,Yes,Liberal arts & sciences,Apr/Sep,Day,Partial,BA
Humanities,Komatsu University,Ishikawa,Medium,Yes,Social sciences,Apr/Sep,Day,Partial,BA
Tech,Kyoei University,Saitama,Medium,Yes,Technology & business,Apr/Sep,Day,Partial,"BSc, BBA"
Tech,Kyoei Institute of Technology,Saitama,Medium,Yes,Applied tech,Apr/Sep,Day,Partial,BEng
Sci,Kyoei Nutrition University,Saitama,Medium,Yes,Nutrition & health science,Apr/Sep,Day,No,BSc
Multi,Meisei University,Tokyo,Medium,Yes,Multi?disciplinary,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Mejiro University,Tokyo,Medium,Yes,"Business, education",Apr/Sep,Day,Partial,BA
Sci,Nippon Sport Science University,Tokyo,Medium,Yes,Sports science & health,Apr/Sep,Day,No,BSc
Sci,Ryutsu Keizai University,Ibaraki,Medium,Yes,"Business, economics",Apr/Sep,Day,Partial,BBA
Sci,Sakushin Gakuin University,Tochigi,Medium,Yes,Humanities & business,Apr/Sep,Day,Partial,BA
Sci,Shonan Institute of Technology,Kanagawa,Medium,Yes,Engineering & tech,Apr/Sep,Day,No,BEng
Med,Shonan University of Medical Sciences,Kanagawa,Medium,Yes,Medical sciences,Apr/Sep,Day,No,MBBS
Sci,St. Marianna University School of Medicine,Kanagawa,Medium,Yes,Medicine & health sciences,Apr/Sep,Day,No,MBBS
Sci,Tsuru University,Kanagawa,Medium,Yes,Sciences & liberal arts,Apr/Sep,Day,Partial,BA
Sci,Yokohama University of Art and Design,Yokohama,Medium,Yes,Arts & design,Apr/Sep,Day,No,BFA
Multi,Aomori University,Aomori,Medium,Yes,Comprehensive university,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Biwako Seikei Sport College,Otsu,Medium,Yes,Sports science & education,Apr/Sep,Day,No,BSc
Multi,Fukuoka University,Fukuoka,Medium,Yes,"Arts, business, science",Apr/Sep,Day,Partial,"BA, BSc"
Eng/Tech,Fukui University of Technology,Fukui,Medium,Yes,Engineering & tech,Apr/Sep,Day,No,"BEng, BSc"
Multi,Gakushuin University,Tokyo,Medium,Yes,Humanities & social sciences,Apr/Sep,Day,Partial,"BA, MA"
Multi,Gunma Prefectural Womenï¿½s University,Gunma,Medium,Yes,Liberal arts & sciences,Apr/Sep,Day,Partial,"BA, BSc"
Multi,International University of Japan,Niigata,High,Yes,Business & international studies,Apr/Sep,Day,Yes,"MBA, BA"
Multi,Iwate University,Iwate,Medium,Yes,Public with many faculties,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,Kagawa University,Takamatsu,Medium,Yes,Public research university,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,Kawasaki University of Medical Welfare,Okayama,Medium,Yes,Health sciences & welfare,Apr/Sep,Day,No,BSc
Multi,Kitami Institute of Technology,Hokkaido,Medium,Yes,Engineering & sciences,Apr/Oct,Day,No,BEng
Multi,Kobe Gakuin University,Kobe,Medium,Yes,Business & law,Apr/Sep,Day,Partial,"BBA, LLB"
Multi,Kurume University,Kurume,Medium,Yes,Medicine & sciences,Apr/Sep,Day,No,MBBS
Multi,Kyoto Institute of Technology,Kyoto,Medium,Yes,Engineering & design,Apr/Oct,Day,Partial,"Eng, Sci"
Multi,Kyoto Pharmaceutical University,Kyoto,Medium,Yes,Pharmacy & life sciences,Apr/Sep,Day,No,BPharm
Multi,Kyoto Womenï¿½s University,Kyoto,Medium,Yes,Liberal arts,Apr/Sep,Day,Partial,BA
Multi,Maebashi Institute of Technology,Gunma,Medium,Yes,Engineering & sciences,Apr/Sep,Day,No,"Eng, Sci"
Multi,Meikai University,Chiba,Medium,Yes,Business & sciences,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Miyazaki University,Miyazaki,Medium,Yes,Public university with many faculties,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,Nagoya Gakuin University,Nagoya,Medium,Yes,"Business, humanities",Apr/Sep,Day,Partial,"BBA, BA"
Multi,Nihon Fukushi University,Aichi,Medium,Yes,Social sciences & welfare,Apr/Sep,Day,Partial,BA
Multi,Nishogakusha University,Tokyo,Medium,Yes,Humanities & social sciences,Apr/Sep,Day,Partial,BA
Multi,Osaka City University,Osaka,Medium,Yes,Public urban university,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,Osaka Prefecture University,Osaka,Medium,Yes,Public with tech & sciences,Apr/Oct,Day,Partial,"Eng, Sci"
Multi,Saga Womenï¿½s Junior College,Saga,Medium,Yes,Womenï¿½s education & arts,Apr/Sep,Day,Partial,BA
Multi,Seiwa Womenï¿½s University,Nagasaki,Medium,Yes,Womenï¿½s studies & humanities,Apr/Sep,Day,Partial,BA
Multi,Shiga University,Shiga,Medium,Yes,Public comprehensive university,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,Shizuoka University,Shizuoka,Medium,Yes,Public with science & humanities,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,Tokyo Denki University,Tokyo,Medium,Yes,Engineering & technology,Apr/Sep,Day,No,Eng
Multi,Tokyo University of Agriculture and Technology,Tokyo,Medium,Yes,"Agriculture, engineering",Apr/Oct,Day,No,"Agri, Eng"
Multi,Umekoji Park International University,Kyoto,Medium,Yes,Social sciences & international studies,Apr/Sep,Day,Partial,BA
Multi,University of Miyazaki,Miyazaki,Medium,Yes,Public comprehensive,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,University of Shimane,Shimane,Medium,Yes,Public multi?disciplinary,Apr/Oct,Day,Partial,"Sci, Arts"
Multi,University of Toyama,Toyama,Medium,Yes,Public with science & health,Apr/Oct,Day,Partial,"Sci, BSc"
Multi,Yamanashi University,Kofu,Medium,Yes,Public science & humanities,Apr/Oct,Day,Partial,"Sci, BA"
Multi,Yokohama National University,Yokohama,Medium,Yes,Public research,Apr/Oct,Day,Partial,"Sci, Eng"
Multi,Advanced Institute of Industrial Technology,Tokyo,Medium,Yes,"Technology, applied sciences",Apr/Sep,Day,Partial,"Eng, Sci"
Multi,Aichi Gakusen University,Okazaki,Medium,Yes,Arts & management,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Aichi Mizuho College,Nagoya,Medium,Yes,Business & social sciences,Apr/Sep,Day,Partial,"BBA, BA"
Arts,Aichi University of the Arts,Nagakute,Medium,Yes,Fine arts & design,Apr/Sep,Day,No,BFA
Multi,Akita Prefectural University,Akita,Medium,Yes,Public comprehensive,Apr/Oct,Day,Partial,"BA, BSc"
Multi,Aomori Public University,Aomori,Medium,Yes,Public university,Apr/Oct,Day,Partial,"BA, BSc"
Multi,Aomori University of Health and Welfare,Aomori,Medium,Yes,Health & welfare,Apr/Oct,Day,No,BSc
Multi,Ashikaga Institute of Technology,Tochigi,Medium,Yes,Engineering & tech,Apr/Sep,Day,No,"Eng, Sci"
Multi,Chitose Institute of Science & Technology,Chitose,Medium,Yes,Sciences & engineering,Apr/Oct,Day,Partial,"Eng, Sci"
Multi,Ehime Prefectural University,Ehime,Medium,Yes,Public sciences & humanities,Apr/Oct,Day,Partial,"BA, BSc"
Multi,Fukuoka Womenï¿½s University,Fukuoka,Medium,Yes,Womenï¿½s liberal arts & sciences,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Hakuoh University,Tochigi,Medium,Yes,"Business, humanities",Apr/Sep,Day,Partial,"BA, BBA"
Multi,Institute of Technologists,Saitama,Medium,Yes,Engineering & tech,Apr/Sep,Day,No,Eng
Multi,International Budo University,Chiba,Medium,Yes,Sports science & culture,Apr/Sep,Day,Partial,BSc
Multi,Jobu University,Gunma,Medium,Yes,Business & arts,Apr/Sep,Day,Partial,"BA, BBA"
Multi,Kaichi International University,Chiba,Medium,Yes,Business & global studies,Apr/Sep,Day,Partial,BA
Multi,Keiai University,Chiba,Medium,Yes,Business & social sciences,Apr/Sep,Day,Partial,BBA
Multi,Kyoritsu University,Fukuoka,Medium,Yes,Business & arts,Apr/Sep,Day,Partial,BA
Multi,Makuhari International University,Chiba,Medium,Yes,Global studies,Apr/Sep,Day,Partial,BA
Multi,Nagoya Bunri University,Nagoya,Medium,Yes,Sciences & business,Apr/Sep,Day,Partial,"BSc, BA"
Multi,Nagoya College of Music,Nagoya,Medium,Yes,Music & performing arts,Apr/Sep,Day,No,BMus
Multi,Nagoya University of Commerce & Business,Nagoya,Medium,Yes,Business & management,Apr/Sep,Day,Partial,"BBA, MBA"
Multi,Nagoya University of Economics,Nagoya,Medium,Yes,Economics & business,Apr/Sep,Day,Partial,BBA
Multi,Ryukoku University,Kyoto,Medium,Yes,Humanities & eco,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Sagami Womenï¿½s University,Kanagawa,Medium,Yes,Womenï¿½s arts & sciences,Apr/Sep,Day,Partial,"BA, BSc"
Multi,Saitama Prefectural University,Saitama,Medium,Yes,Public multi?disciplinary,Apr/Oct,Day,Partial,"BA, BSc"
Multi,Sapporo Gakuin University,Sapporo,Medium,Yes,Business & humanities,Apr/Oct,Day,Partial,"BA, BSc"
Multi,Sapporo International University,Sapporo,Medium,Yes,Global studies & business,Apr/Oct,Day,Partial,BA
Multi,Shoin University,Kanagawa,Medium,Yes,Business & humanities,Apr/Sep,Day,Partial,BA
Multi,Science University of Tokyo in Yamaguchi,Yamaguchi,Medium,Yes,Sciences & tech,Apr/Oct,Day,Partial,Sci
Multi,Tokiwa University,Ibaraki,Medium,Yes,Business & education,Apr/Sep,Day,Partial,BA
Multi,Teikyo University of Science,Tokyo,Medium,Yes,Science & technology,Apr/Sep,Day,Partial,Sci
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Akita University,Akita,Medium,Yes,"National university offering multi-disciplinary programs including IT, engineering, health & life sciences, business, and social sciences. Combines theory, labs, and projects.","April, October",Day,Partial,"BA, BSc, BEng, MSc, MBA, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Aoyama Gakuin University,Tokyo,Medium,Yes,"Private university offering programs in IT, engineering, business, social sciences, pharmacy, and life sciences. Focuses on practical skills, internships, and research projects.","April, September",Day,Partial,"BA, BSc, BEng, MBA, MS, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Chiba University,Chiba,Medium,Yes,"Public research university offering comprehensive programs in computing, engineering, health & life sciences, management, and social sciences.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Ehime University,Matsuyama,Medium,Yes,"Offers multi-disciplinary programs including engineering, computing, health sciences, pharmacy, management, and social sciences. Focus on research & practical training.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Fukuoka University,Fukuoka,Medium,Yes,"Private university providing courses in IT, engineering, life sciences, health sciences, management, and social sciences. Emphasis on labs and professional practice.","April, September",Day,Partial,"BA, BSc, BEng, MBA, MS, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Hiroshima University,Hiroshima,Medium,Yes,"National university offering computing, engineering, pharmacy, health & life sciences, management, and social sciences. Research-oriented curriculum.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Hokkaido University,Sapporo,High,Yes,"One of Japanï¿½s top universities offering programs in computing, engineering, pharmacy, life sciences, health sciences, management, and social sciences. Strong lab and research components.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Ibaraki University,Ibaraki,Medium,Yes,"Offers multi-disciplinary programs in IT, engineering, health sciences, life sciences, management, and social sciences. Focus on applied research and lab work.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kanazawa University,Kanazawa,Medium,Yes,"National university with programs in computing, engineering, pharmacy, life sciences, management, and social sciences. Offers strong research opportunities and practical labs.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kanagawa University,Yokohama,Medium,Yes,"Private university offering multi-disciplinary programs including IT, engineering, health sciences, life sciences, management, and social sciences. Focus on research and internships.","April, September",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Keio University,Tokyo,High,Yes,"Prestigious private university offering computing, engineering, health sciences, life sciences, management, pharmacy, and social sciences. Combines theory with practical labs.","April, September",Day,Partial,"BA, BSc, BEng, MSc, MBA, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kindai University,Osaka,Medium,Yes,"Offers programs in IT, engineering, life sciences, pharmacy, health sciences, management, and social sciences. Emphasis on labs, research, and internships.","April, September",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kyoto University,Kyoto,High,Yes,"Top national university offering computing, engineering, pharmacy, health & life sciences, management, and social sciences. Strong research and laboratory focus.","April, October",Day,Partial,"BA, BSc, BEng, MSc, PhD"
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Kyoto Institute of Technology,Kyoto,Medium,Yes,"Specialized in engineering, IT, life sciences, and health sciences with management and social science electives. Practical lab-based education.","April, October",Day,Partial,"BEng, BSc, MSc, PhD"
